line_id,value_date,narration,dr_cr,amount,bank_ref
BLJUN00363,2026-06-12,UPI/SETTLE/PRJUN27514010/M1010,CR,68179.84,UTR4939447721
BLJUN00342,2026-06-10,UPI/SETTLE/PRJUN15892193/M1006,CR,85267.99,UTR3494390866
BLJUN00348,2026-06-24,UPI/SETTLE/PRJUN22242388/M1020,CR,23768.73,UTR5254923696
BLJUN00364,2026-06-19,UPI/SETTLE/PRJUN24887509/M1038,CR,81798.43,UTR5728897164
BLJUN00427,2026-06-22,UPI/SETTLE/PRJUN68749047/M1012,CR,25672.32,UTR5783872028
BLJUN00416,2026-06-09,UPI/SETTLE/PRJUN12566878/M1038,CR,21504.45,UTR3167384632
BLJUN00267,2026-06-02,SETTLEMENT PRMAY59755172 PREV CYCLE,CR,39469.88,UTR6968380957
BLJUN00343,2026-06-06,UPI/SETTLE/PRJUN77837366/M1028,CR,60626.19,UTR1561387824
BLJUN00379,2026-06-18,UPI/SETTLE/PRJUN73209094/M1012,CR,85039.64,UTR6933261892
BLJUN00325,2026-06-20,UPI/SETTLE/PRJUN12240013/M1004,CR,6648.71,UTR8589679668
BLJUN00303,2026-06-09,UPI/SETTLE/PRJUN83330295/M1003,CR,94031.25,UTR7226553010
BLJUN00347,2026-06-04,UPI/SETTLE/PRJUN26094525/M1014,CR,15184.06,UTR2407863065
BLJUN00355,2026-06-17,UPI/SETTLE/PRJUN83912181/M1027,CR,6027.77,UTR3258354191
BLJUN00440,2026-06-13,SETTLE/NEFTPRJUN10294869/PAYOUT,CR,33899.42,UTR6000009225
BLJUN00388,2026-06-17,UPI/SETTLE/PRJUN97884113/M1018,CR,54449.20,UTR2730759996
BLJUN00307,2026-06-23,UPI/SETTLE/PRJUN79043610/M1018,CR,77488.39,UTR4719780110
BLJUN00425,2026-06-04,UPI/SETTLE/PRJUN72314252/M1024,CR,9706.89,UTR6638034087
BLJUN00450,2026-06-24,SETTLE/prjun18325904/PAYOUT,CR,74567.86,UTR8791183272
BLJUN00377,2026-06-14,UPI/SETTLE/PRJUN17315517/M1013,CR,611.53,UTR1416555576
BLJUN00419,2026-06-19,UPI/SETTLE/PRJUN26588648/M1020,CR,24196.95,UTR7529678452
BLJUN00406,2026-06-10,UPI/SETTLE/PRJUN57685330/M1024,CR,70763.89,UTR6557907251
BLJUN00380,2026-06-17,UPI/SETTLE/PRJUN35042738/M1015,CR,4477.45,UTR8890193183
BLJUN00482,2026-06-24,SETTLEMENT BATCHJUN007,CR,34872.42,UTR5781753301
BLJUN00420,2026-06-21,UPI/SETTLE/PRJUN93590502/M1019,CR,66643.82,UTR5751366455
BLJUN00318,2026-06-13,UPI/SETTLE/PRJUN52057323/M1010,CR,83723.71,UTR9883760207
BLJUN00456,2026-06-03,SETTLE/prjun30777669/PAYOUT,CR,14813.40,UTR2537965898
BLJUN00463,2026-06-10,PART SETTLEMENT PRJUN97446634-P2,CR,13804.67,UTR4589154183
BLJUN00478,2026-06-26,SETTLEMENT BATCHJUN003,CR,70172.53,UTR7781327255
BLJUN00308,2026-06-07,UPI/SETTLE/PRJUN43511112/M1010,CR,67654.66,UTR7074050517
BLJUN00472,2026-06-13,PART SETTLEMENT PRJUN48901209-P2,CR,32177.38,UTR1944316108
BLJUN00321,2026-06-07,UPI/SETTLE/PRJUN52211967/M1002,CR,23727.76,UTR2295574037
BLJUN00393,2026-06-04,UPI/SETTLE/PRJUN31336920/M1012,CR,29728.91,UTR4577406847
BLJUN00375,2026-06-15,UPI/SETTLE/PRJUN91512791/M1013,CR,15135.58,UTR7614788357
BLJUN00438,2026-06-23,UPI/SETTLE/PRJUN97858385/M1015,CR,43475.70,UTR8921283088
BLJUN00341,2026-06-09,UPI/SETTLE/PRJUN23951801/M1004,CR,50449.92,UTR2201840395
BLJUN00497,2026-06-21,UPI/SETTLE/PRJUN98070348,CR,20368.57,UTR8044997538
BLJUN00314,2026-06-13,UPI/SETTLE/PRJUN97857309/M1026,CR,23974.38,UTR7981917208
BLJUN00359,2026-06-05,UPI/SETTLE/PRJUN31424479/M1015,CR,23734.46,UTR6963229328
BLJUN00459,2026-06-19,SETTLE/PRJU N92984217/PAYOUT,CR,45242.72,UTR9761206076
BLJUN00480,2026-06-24,SETTLEMENT BATCHJUN005,CR,32645.62,UTR9773795424
BLJUN00286,2026-06-24,UPI/SETTLE/PRJUN98261798/M1022,CR,33887.09,UTR2848792488
BLJUN00396,2026-06-08,UPI/SETTLE/PRJUN56204319/M1002,CR,79617.69,UTR2660286914
BLJUN00270,2026-06-04,SETTLEMENT PRMAY42981324 PREV CYCLE,CR,52423.38,UTR2158638062
BLJUN00339,2026-06-25,UPI/SETTLE/PRJUN36229153/M1027,CR,85567.00,UTR1102693781
BLJUN00500,2026-06-11,MISC CREDIT REF2690268,CR,36200.80,UTR6692705133
BLJUN00436,2026-06-12,UPI/SETTLE/PRJUN70004467/M1026,CR,11497.47,UTR2770980600
BLJUN00344,2026-06-11,UPI/SETTLE/PRJUN49148093/M1029,CR,80874.07,UTR2168041588
BLJUN00407,2026-06-17,UPI/SETTLE/PRJUN25808361/M1033,CR,5335.89,UTR8218541928
BLJUN00340,2026-06-13,UPI/SETTLE/PRJUN82684966/M1025,CR,60505.49,UTR8418332121
BLJUN00415,2026-06-24,UPI/SETTLE/PRJUN68205561/M1013,CR,94571.01,UTR8782516473
BLJUN00439,2026-06-20,UPI/SETTLE/PRJUN54556611/M1008,CR,72962.70,UTR3829998009
BLJUN00470,2026-06-17,PART SETTLEMENT PRJUN94586329-P3,CR,27480.17,UTR3159668272
BLJUN00277,2026-06-11,UPI/SETTLE/PRJUN68341261/M1017,CR,40149.45,UTR5055403877
BLJUN00468,2026-06-15,PART SETTLEMENT PRJUN94586329-P1,CR,24681.56,UTR9785427977
BLJUN00319,2026-06-03,UPI/SETTLE/PRJUN85603667/M1014,CR,58077.75,UTR8243746556
BLJUN00272,2026-06-04,SETTLEMENT PRMAY28784915 PREV CYCLE,CR,17688.53,UTR2752536389
BLJUN00502,2026-06-12,MISC CREDIT REF6756203,CR,25776.43,UTR2571632270
BLJUN00258,2026-06-02,SETTLEMENT PRMAY54327148 PREV CYCLE,CR,87630.92,UTR9926778957
BLJUN00255,2026-06-02,SETTLEMENT PRMAY34679818 PREV CYCLE,CR,23081.74,UTR3521300895
BLJUN00312,2026-06-17,UPI/SETTLE/PRJUN85986307/M1030,CR,74941.77,UTR1069927882
BLJUN00334,2026-06-09,UPI/SETTLE/PRJUN11649277/M1012,CR,4606.75,UTR4682870880
BLJUN00384,2026-06-15,UPI/SETTLE/PRJUN15727862/M1039,CR,7675.42,UTR6402580787
BLJUN00300,2026-06-24,UPI/SETTLE/PRJUN65784972/M1037,CR,79829.75,UTR4268713302
BLJUN00391,2026-06-17,UPI/SETTLE/PRJUN47627490/M1020,CR,81567.75,UTR8841851495
BLJUN00320,2026-06-05,UPI/SETTLE/PRJUN39158087/M1023,CR,85202.18,UTR9432088993
BLJUN00374,2026-06-26,UPI/SETTLE/PRJUN31596235/M1002,CR,7356.48,UTR3807341727
BLJUN00273,2026-06-01,SETTLEMENT PRMAY14539747 PREV CYCLE,CR,89806.57,UTR5679877282
BLJUN00275,2026-06-02,UPI/SETTLE/PRJUN61705758/M1037,CR,27902.54,UTR3238126936
BLJUN00306,2026-06-11,UPI/SETTLE/PRJUN81441519/M1019,CR,56802.27,UTR7754847890
BLJUN00382,2026-06-23,UPI/SETTLE/PRJUN81875527/M1031,CR,82388.21,UTR2283560032
BLJUN00403,2026-06-23,UPI/SETTLE/PRJUN13416548/M1026,CR,47376.08,UTR9741628563
BLJUN00389,2026-06-22,UPI/SETTLE/PRJUN92979370/M1022,CR,64757.02,UTR3965734008
BLJUN00432,2026-06-24,UPI/SETTLE/PRJUN68095862/M1010,CR,69100.27,UTR1234359689
BLJUN00455,2026-06-11,SETTLE/NEFTPRJUN67513345/PAYOUT,CR,52987.72,UTR6714723660
BLJUN00434,2026-06-09,UPI/SETTLE/PRJUN53034742/M1036,CR,31602.29,UTR8057994126
BLJUN00496,2026-06-08,UPI/SETTLE/PRJUN28531242,CR,71105.39,UTR7478286207
BLJUN00444,2026-06-26,SETTLE/PRJUN782272/PAYOUT,CR,87530.13,UTR5739728188
BLJUN00257,2026-06-03,SETTLEMENT PRMAY84797762 PREV CYCLE,CR,37052.70,UTR6719736115
BLJUN00297,2026-06-14,UPI/SETTLE/PRJUN87149161/M1036,CR,40332.92,UTR6011649263
BLJUN00260,2026-06-04,SETTLEMENT PRMAY90922827 PREV CYCLE,CR,83025.54,UTR5621463184
BLJUN00271,2026-06-02,SETTLEMENT PRMAY75581613 PREV CYCLE,CR,43913.55,UTR1374938761
BLJUN00372,2026-06-21,UPI/SETTLE/PRJUN74355957/M1005,CR,61929.37,UTR5438474114
BLJUN00411,2026-06-22,UPI/SETTLE/PRJUN27368573/M1031,CR,41344.16,UTR2646331504
BLJUN00279,2026-06-13,UPI/SETTLE/PRJUN63108878/M1022,CR,79992.87,UTR3552898167
BLJUN00324,2026-06-14,UPI/SETTLE/PRJUN27714442/M1031,CR,81812.13,UTR4308701294
BLJUN00373,2026-06-13,UPI/SETTLE/PRJUN12694823/M1011,CR,24991.85,UTR9108603060
BLJUN00366,2026-06-24,UPI/SETTLE/PRJUN39962391/M1019,CR,56053.03,UTR1546957087
BLJUN00288,2026-06-17,UPI/SETTLE/PRJUN13296743/M1010,CR,10156.05,UTR6791027463
BLJUN00323,2026-06-09,UPI/SETTLE/PRJUN25132198/M1024,CR,47585.45,UTR9306142066
BLJUN00401,2026-06-05,UPI/SETTLE/PRJUN74657836/M1017,CR,32112.88,UTR8092994480
BLJUN00499,2026-06-08,MISC CREDIT REF8718703,CR,66408.67,UTR1036157653
BLJUN00397,2026-06-20,UPI/SETTLE/PRJUN31865061/M1014,CR,74138.91,UTR5333183840
BLJUN00329,2026-06-23,UPI/SETTLE/PRJUN51512209/M1009,CR,70525.46,UTR4012917912
BLJUN00445,2026-06-22,SETTLE/PRJU N98251083/PAYOUT,CR,57683.73,UTR4274374218
BLJUN00493,2026-06-22,UPI/SETTLE/PRJUN65462544,CR,74513.95,UTR7678293431
BLJUN00488,2026-06-09,UPI/SETTLE/PRJUN67108220,CR,24365.58,UTR1811839103
BLJUN00476,2026-06-24,SETTLEMENT BATCHJUN001 NET OF CHGS 452.26,CR,61968.46,UTR2076695131
BLJUN00313,2026-06-16,UPI/SETTLE/PRJUN31204188/M1020,CR,43505.09,UTR2176904638
BLJUN00337,2026-06-11,UPI/SETTLE/PRJUN72423883/M1036,CR,73541.73,UTR2961709893
BLJUN00430,2026-06-22,UPI/SETTLE/PRJUN58130331/M1008,CR,2980.34,UTR9107154202
BLJUN00457,2026-06-18,SETTLE/PRJUN526623/PAYOUT,CR,21091.40,UTR7601519165
BLJUN00283,2026-06-17,UPI/SETTLE/PRJUN38138531/M1009,CR,75830.70,UTR8015124886
BLJUN00421,2026-06-21,UPI/SETTLE/PRJUN36661903/M1023,CR,19176.25,UTR8316205130
BLJUN00435,2026-06-10,UPI/SETTLE/PRJUN64126921/M1006,CR,7719.20,UTR8973989997
BLJUN00367,2026-06-24,UPI/SETTLE/PRJUN10241310/M1012,CR,90139.15,UTR7882206934
BLJUN00475,2026-06-22,PART SETTLEMENT PRJUN62478133-P3,CR,44261.01,UTR9611537583
BLJUN00495,2026-06-08,UPI/SETTLE/PRJUN28531242,CR,71105.39,UTR1430693397
BLJUN00431,2026-06-03,UPI/SETTLE/PRJUN69148126/M1022,CR,6251.09,UTR3655316364
BLJUN00477,2026-06-11,SETTLEMENT BATCHJUN002 NET OF CHGS 274.51,CR,94976.26,UTR2543980627
BLJUN00311,2026-06-09,UPI/SETTLE/PRJUN67665720/M1036,CR,47124.24,UTR3482206102
BLJUN00254,2026-06-02,SETTLEMENT PRMAY52779814 PREV CYCLE,CR,38932.56,UTR2350701477
BLJUN00285,2026-06-03,UPI/SETTLE/PRJUN82966824/M1007,CR,75170.81,UTR4302632494
BLJUN00498,2026-06-05,UPI/SETTLE/PRJUN68917831,CR,15813.99,UTR5449848690
BLJUN00332,2026-06-23,UPI/SETTLE/PRJUN87396877/M1004,CR,7552.39,UTR3434757387
BLJUN00253,2026-06-01,SETTLEMENT PRMAY16292676 PREV CYCLE,CR,89465.31,UTR3826557688
BLJUN00278,2026-06-17,UPI/SETTLE/PRJUN93890601/M1009,CR,56513.16,UTR2308496151
BLJUN00487,2026-06-09,UPI/SETTLE/PRJUN67108220,CR,24365.58,UTR7050091525
BLJUN00398,2026-06-23,UPI/SETTLE/PRJUN27758896/M1039,CR,16660.76,UTR8055515912
BLJUN00268,2026-06-03,SETTLEMENT PRMAY12176998 PREV CYCLE,CR,52676.27,UTR1457632732
BLJUN00400,2026-06-06,UPI/SETTLE/PRJUN88448538/M1020,CR,946.18,UTR3939532043
BLJUN00467,2026-06-05,PART SETTLEMENT PRJUN30636590-P3,CR,46197.40,UTR6961554653
BLJUN00426,2026-06-05,UPI/SETTLE/PRJUN25555976/M1011,CR,80905.55,UTR6706554814
BLJUN00501,2026-06-24,MISC CREDIT REF4139896,CR,81909.53,UTR7651029165
BLJUN00376,2026-06-12,UPI/SETTLE/PRJUN98663948/M1037,CR,28428.71,UTR3108606793
BLJUN00394,2026-06-09,UPI/SETTLE/PRJUN17734634/M1018,CR,3383.48,UTR4964570811
BLJUN00346,2026-06-16,UPI/SETTLE/PRJUN52148834/M1020,CR,11689.81,UTR7285025763
BLJUN00292,2026-06-26,UPI/SETTLE/PRJUN13918120/M1025,CR,58436.63,UTR9609047368
BLJUN00331,2026-06-27,UPI/SETTLE/PRJUN25845304/M1034,CR,85515.28,UTR5569295400
BLJUN00360,2026-06-07,UPI/SETTLE/PRJUN33315234/M1023,CR,22663.22,UTR3420671425
BLJUN00428,2026-06-17,UPI/SETTLE/PRJUN63720675/M1011,CR,26006.19,UTR1485574228
BLJUN00483,2026-06-26,SETTLEMENT BATCHJUN008,CR,59801.16,UTR5068424407
BLJUN00290,2026-06-05,UPI/SETTLE/PRJUN52803305/M1007,CR,28700.02,UTR5982744929
BLJUN00491,2026-06-08,UPI/SETTLE/PRJUN58623028,CR,14915.27,UTR8218146534
BLJUN00291,2026-06-15,UPI/SETTLE/PRJUN85141654/M1012,CR,91064.33,UTR7150970643
BLJUN00338,2026-06-08,UPI/SETTLE/PRJUN59515518/M1030,CR,27878.63,UTR9469064524
BLJUN00296,2026-06-12,UPI/SETTLE/PRJUN42020689/M1027,CR,11330.91,UTR3561629386
BLJUN00264,2026-06-04,SETTLEMENT PRMAY53166435 PREV CYCLE,CR,36317.70,UTR2632399901
BLJUN00469,2026-06-16,PART SETTLEMENT PRJUN94586329-P2,CR,13150.61,UTR4643211329
BLJUN00349,2026-06-15,UPI/SETTLE/PRJUN14171767/M1007,CR,81223.47,UTR1600406558
BLJUN00293,2026-06-08,UPI/SETTLE/PRJUN38829445/M1035,CR,26623.17,UTR6097953682
BLJUN00383,2026-06-25,UPI/SETTLE/PRJUN62989744/M1012,CR,3540.52,UTR1827752234
BLJUN00351,2026-06-20,UPI/SETTLE/PRJUN88158177/M1013,CR,24773.26,UTR1553155490
BLJUN00460,2026-06-15,PART SETTLEMENT PRJUN53075436-P1,CR,28918.35,UTR7208619610
BLJUN00274,2026-06-01,SETTLEMENT PRMAY65350347 PREV CYCLE,CR,80081.11,UTR8664105957
BLJUN00345,2026-06-08,UPI/SETTLE/PRJUN20024377/M1011,CR,13146.60,UTR7225841764
BLJUN00412,2026-06-20,UPI/SETTLE/PRJUN15063406/M1034,CR,19144.50,UTR1818520766
BLJUN00282,2026-06-13,UPI/SETTLE/PRJUN62738860/M1036,CR,11040.87,UTR8418324922
BLJUN00462,2026-06-09,PART SETTLEMENT PRJUN97446634-P1,CR,39715.67,UTR8238760130
BLJUN00284,2026-06-10,UPI/SETTLE/PRJUN42483531/M1029,CR,62658.32,UTR8265834251
BLJUN00294,2026-06-09,UPI/SETTLE/PRJUN53752954/M1039,CR,43602.90,UTR5785590330
BLJUN00413,2026-06-23,UPI/SETTLE/PRJUN10553491/M1009,CR,69758.91,UTR5736095750
BLJUN00317,2026-06-25,UPI/SETTLE/PRJUN66682016/M1006,CR,12773.60,UTR1439921366
BLJUN00422,2026-06-08,UPI/SETTLE/PRJUN49641367/M1022,CR,3983.69,UTR2007192464
BLJUN00481,2026-06-11,SETTLEMENT BATCHJUN006,CR,63663.38,UTR8699405145
BLJUN00490,2026-06-23,UPI/SETTLE/PRJUN10954835,CR,49760.72,UTR6651754819
BLJUN00404,2026-06-09,UPI/SETTLE/PRJUN86778235/M1023,CR,32765.08,UTR7473868020
BLJUN00452,2026-06-04,SETTLE/NEFTPRJUN99186817/PAYOUT,CR,88034.44,UTR9645619869
BLJUN00486,2026-06-08,NET SETTLEMENT M1031 2026-06-06,CR,55880.50,UTR3474420092
BLJUN00259,2026-06-03,SETTLEMENT PRMAY81891784 PREV CYCLE,CR,5133.10,UTR1230624431
BLJUN00423,2026-06-24,UPI/SETTLE/PRJUN11711195/M1010,CR,8683.02,UTR5077839614
BLJUN00335,2026-06-25,UPI/SETTLE/PRJUN84204255/M1016,CR,70428.09,UTR8388580360
BLJUN00494,2026-06-22,UPI/SETTLE/PRJUN65462544,CR,74513.95,UTR8325043570
BLJUN00466,2026-06-04,PART SETTLEMENT PRJUN30636590-P2,CR,21209.58,UTR6405851839
BLJUN00287,2026-06-06,UPI/SETTLE/PRJUN11415698/M1026,CR,24765.46,UTR5942411853
BLJUN00392,2026-06-26,UPI/SETTLE/PRJUN46160937/M1014,CR,39739.22,UTR9831336766
BLJUN00402,2026-06-07,UPI/SETTLE/PRJUN35281262/M1021,CR,49263.57,UTR3923823693
BLJUN00299,2026-06-07,UPI/SETTLE/PRJUN75043108/M1027,CR,18738.42,UTR8235717104
BLJUN00281,2026-06-11,UPI/SETTLE/PRJUN52833932/M1021,CR,69879.35,UTR6910112521
BLJUN00381,2026-06-04,UPI/SETTLE/PRJUN85731895/M1035,CR,14569.63,UTR7539441086
BLJUN00276,2026-06-08,UPI/SETTLE/PRJUN61100987/M1010,CR,13405.10,UTR1271730355
BLJUN00453,2026-06-09,SETTLE/PRJUN437344/PAYOUT,CR,59048.22,UTR5141593270
BLJUN00418,2026-06-03,UPI/SETTLE/PRJUN89715138/M1027,CR,62971.65,UTR7203282627
BLJUN00458,2026-06-14,SETTLE/prjun22340723/PAYOUT,CR,21208.52,UTR2260892281
BLJUN00289,2026-06-17,UPI/SETTLE/PRJUN56045630/M1007,CR,74559.58,UTR8287542751
BLJUN00442,2026-06-08,SETTLE/PRJU N62733674/PAYOUT,CR,43555.11,UTR9125023089
BLJUN00266,2026-06-01,SETTLEMENT PRMAY23234972 PREV CYCLE,CR,72414.34,UTR5647317872
BLJUN00465,2026-06-03,PART SETTLEMENT PRJUN30636590-P1,CR,29942.48,UTR3396953414
BLJUN00328,2026-06-04,UPI/SETTLE/PRJUN42029368/M1040,CR,23414.46,UTR3614915281
