line_id,value_date,narration,dr_cr,amount,bank_ref
BLMAY00244,2026-05-22,UPI/SETTLE/PRMAY20770971,CR,12850.78,UTR3271361431
BLMAY00095,2026-05-07,UPI/SETTLE/PRMAY47333543/M1031,CR,94710.58,UTR6789448659
BLMAY00238,2026-05-14,UPI/SETTLE/PRMAY72059365,CR,68780.79,UTR4203205881
BLMAY00115,2026-05-14,UPI/SETTLE/PRMAY69287967/M1030,CR,93830.00,UTR8925520026
BLMAY00101,2026-05-04,UPI/SETTLE/PRMAY64759583/M1010,CR,21540.39,UTR8372755146
BLMAY00015,2026-05-23,UPI/SETTLE/PRMAY25374874/M1019,CR,84083.71,UTR2867302554
BLMAY00019,2026-05-05,UPI/SETTLE/PRMAY75228535/M1036,CR,92914.03,UTR6004182187
BLMAY00200,2026-05-19,SETTLE/NEFTPRMAY58438711/PAYOUT,CR,54473.28,UTR5577353273
BLMAY00044,2026-05-15,UPI/SETTLE/PRMAY33763566/M1018,CR,2598.51,UTR4011966884
BLMAY00218,2026-05-16,PART SETTLEMENT PRMAY48951595-P2,CR,10470.51,UTR5979337757
BLMAY00075,2026-05-05,UPI/SETTLE/PRMAY42949803/M1037,CR,26678.45,UTR6922713963
BLMAY00225,2026-05-20,SETTLEMENT BATCHMAY006,CR,67098.90,UTR8504761698
BLMAY00251,2026-05-23,MISC CREDIT REF2599906,CR,92851.94,UTR4947728706
BLMAY00081,2026-05-05,UPI/SETTLE/PRMAY40942292/M1013,CR,68591.69,UTR7374584386
BLMAY00107,2026-05-20,UPI/SETTLE/PRMAY77416376/M1034,CR,31706.50,UTR9205284543
BLMAY00147,2026-05-07,UPI/SETTLE/PRMAY55754284/M1004,CR,35312.53,UTR1668210614
BLMAY00099,2026-05-16,UPI/SETTLE/PRMAY93940940/M1019,CR,72259.10,UTR8293928340
BLMAY00193,2026-05-10,SETTLE/NEFTPRMAY19023909/PAYOUT,CR,74014.33,UTR3598862507
BLMAY00131,2026-05-08,UPI/SETTLE/PRMAY88703005/M1039,CR,77286.77,UTR5307145891
BLMAY00232,2026-05-21,NET SETTLEMENT M1010 2026-05-19,CR,73185.39,UTR3304937838
BLMAY00058,2026-05-17,UPI/SETTLE/PRMAY83534128/M1016,CR,85260.47,UTR6322520473
BLMAY00184,2026-05-13,SETTLE/PRMAY832847/PAYOUT,CR,77329.97,UTR4485356009
BLMAY00093,2026-05-10,UPI/SETTLE/PRMAY64023778/M1039,CR,47669.74,UTR2075321966
BLMAY00133,2026-05-20,UPI/SETTLE/PRMAY41934639/M1009,CR,30927.35,UTR8480622107
BLMAY00168,2026-05-14,UPI/SETTLE/PRMAY12446861/M1013,CR,29515.06,UTR1590838716
BLMAY00239,2026-05-07,UPI/SETTLE/PRMAY87619624,CR,4541.21,UTR4840638976
BLMAY00145,2026-05-11,UPI/SETTLE/PRMAY34215035/M1001,CR,66830.71,UTR8118240999
BLMAY00038,2026-05-12,UPI/SETTLE/PRMAY46553958/M1033,CR,57557.63,UTR7393195616
BLMAY00248,2026-05-23,MISC CREDIT REF4789255,CR,23293.95,UTR9936181631
BLMAY00020,2026-05-21,UPI/SETTLE/PRMAY80823176/M1020,CR,40342.32,UTR6898796145
BLMAY00086,2026-05-17,UPI/SETTLE/PRMAY63782042/M1037,CR,7269.29,UTR9371430906
BLMAY00235,2026-05-19,UPI/SETTLE/PRMAY78501420,CR,76873.57,UTR7499349987
BLMAY00158,2026-05-22,UPI/SETTLE/PRMAY33286644/M1030,CR,14734.41,UTR7977267911
BLMAY00152,2026-05-07,UPI/SETTLE/PRMAY33581357/M1005,CR,36274.66,UTR4187043237
BLMAY00045,2026-05-04,UPI/SETTLE/PRMAY61343880/M1023,CR,81601.71,UTR1977515194
BLMAY00175,2026-05-14,UPI/SETTLE/PRMAY70549373/M1033,CR,88412.22,UTR2606152369
BLMAY00109,2026-05-05,UPI/SETTLE/PRMAY97219599/M1035,CR,80954.76,UTR9744120054
BLMAY00240,2026-05-07,UPI/SETTLE/PRMAY87619624,CR,4541.21,UTR3027530378
BLMAY00157,2026-05-13,UPI/SETTLE/PRMAY56892354/M1010,CR,69169.17,UTR2099375147
BLMAY00077,2026-05-10,UPI/SETTLE/PRMAY55679506/M1034,CR,83660.32,UTR5071897791
BLMAY00066,2026-05-27,UPI/SETTLE/PRMAY55298556/M1006,CR,83595.89,UTR3019952485
BLMAY00057,2026-05-17,UPI/SETTLE/PRMAY26288475/M1029,CR,12883.88,UTR7462972995
BLMAY00037,2026-05-22,UPI/SETTLE/PRMAY92097999/M1017,CR,50367.13,UTR3376077463
BLMAY00213,2026-05-05,PART SETTLEMENT PRMAY70873663-P1,CR,20170.13,UTR5912019621
BLMAY00250,2026-05-05,MISC CREDIT REF2387242,CR,66844.58,UTR8663837890
BLMAY00051,2026-05-19,UPI/SETTLE/PRMAY49682169/M1040,CR,12310.52,UTR7739255769
BLMAY00172,2026-05-09,UPI/SETTLE/PRMAY72950208/M1025,CR,35102.93,UTR3597009738
BLMAY00252,2026-05-12,MISC CREDIT REF8977571,CR,20281.77,UTR2164344392
BLMAY00106,2026-05-04,UPI/SETTLE/PRMAY65133300/M1010,CR,30397.21,UTR1158998032
BLMAY00223,2026-05-23,SETTLEMENT BATCHMAY004,CR,57896.90,UTR3227727430
BLMAY00053,2026-05-16,UPI/SETTLE/PRMAY69295515/M1019,CR,64265.68,UTR2439622619
BLMAY00104,2026-05-21,UPI/SETTLE/PRMAY50071487/M1035,CR,55197.74,UTR7375197714
BLMAY00021,2026-05-17,UPI/SETTLE/PRMAY79467853/M1002,CR,11715.15,UTR1945826486
BLMAY00124,2026-05-10,UPI/SETTLE/PRMAY91883846/M1008,CR,61615.06,UTR1600337712
BLMAY00111,2026-05-25,UPI/SETTLE/PRMAY95060193/M1002,CR,82926.88,UTR5492496998
BLMAY00217,2026-05-15,PART SETTLEMENT PRMAY48951595-P1,CR,28318.23,UTR8392190335
BLMAY00228,2026-05-17,SETTLEMENT BATCHMAY009,CR,74738.79,UTR4086355679
BLMAY00103,2026-05-09,UPI/SETTLE/PRMAY61484043/M1027,CR,87597.01,UTR5305985001
BLMAY00243,2026-05-22,UPI/SETTLE/PRMAY20770971,CR,12850.78,UTR7602474923
BLMAY00196,2026-05-05,SETTLE/prmay85386435/PAYOUT,CR,25053.34,UTR9584045520
BLMAY00114,2026-05-23,UPI/SETTLE/PRMAY71894493/M1019,CR,24314.35,UTR1678500147
BLMAY00026,2026-05-10,UPI/SETTLE/PRMAY24665841/M1012,CR,18403.16,UTR6491309593
BLMAY00036,2026-05-04,UPI/SETTLE/PRMAY56843172/M1029,CR,83560.86,UTR8316648259
BLMAY00220,2026-05-14,SETTLEMENT BATCHMAY001 NET OF CHGS 330.26,CR,65246.93,UTR6131005449
BLMAY00022,2026-05-24,UPI/SETTLE/PRMAY19528530/M1022,CR,60047.01,UTR9894264595
BLMAY00070,2026-05-06,UPI/SETTLE/PRMAY51746937/M1026,CR,55080.38,UTR1851819913
BLMAY00055,2026-05-23,UPI/SETTLE/PRMAY65625330/M1016,CR,54794.82,UTR3953315788
BLMAY00059,2026-05-05,UPI/SETTLE/PRMAY69038700/M1021,CR,67858.38,UTR1346078411
BLMAY00132,2026-05-06,UPI/SETTLE/PRMAY29419691/M1009,CR,51435.41,UTR5358791907
BLMAY00014,2026-05-15,UPI/SETTLE/PRMAY61642594/M1036,CR,56710.43,UTR9639245200
BLMAY00192,2026-05-14,SETTLE/PRMA Y95565484/PAYOUT,CR,34673.73,UTR1149460439
BLMAY00156,2026-05-09,UPI/SETTLE/PRMAY55568701/M1034,CR,31808.25,UTR3190227431
BLMAY00224,2026-05-22,SETTLEMENT BATCHMAY005,CR,68558.65,UTR4027526473
BLMAY00183,2026-05-10,SETTLE/PRMAY562786/PAYOUT,CR,69696.16,UTR5485387618
BLMAY00032,2026-05-23,UPI/SETTLE/PRMAY19121552/M1038,CR,81907.37,UTR3553440342
BLMAY00164,2026-05-19,UPI/SETTLE/PRMAY80339290/M1025,CR,58029.06,UTR3567900251
BLMAY00110,2026-05-09,UPI/SETTLE/PRMAY19183277/M1028,CR,60052.51,UTR5201928545
BLMAY00127,2026-05-22,UPI/SETTLE/PRMAY75679047/M1014,CR,38918.98,UTR7199283151
BLMAY00121,2026-05-05,UPI/SETTLE/PRMAY55461591/M1026,CR,44624.40,UTR2570991899
BLMAY00069,2026-05-08,UPI/SETTLE/PRMAY85694715/M1039,CR,44311.97,UTR4518871744
BLMAY00030,2026-05-11,UPI/SETTLE/PRMAY35487660/M1021,CR,20877.16,UTR1245522987
BLMAY00123,2026-05-13,UPI/SETTLE/PRMAY95704631/M1040,CR,10515.79,UTR7706193636
BLMAY00209,2026-05-09,PART SETTLEMENT PRMAY96031876-P2,CR,30880.82,UTR1348849508
BLMAY00067,2026-05-03,UPI/SETTLE/PRMAY82399599/M1003,CR,94991.27,UTR4239406957
BLMAY00129,2026-05-05,UPI/SETTLE/PRMAY35475673/M1039,CR,90168.77,UTR5170814022
BLMAY00088,2026-05-11,UPI/SETTLE/PRMAY69421007/M1040,CR,81750.79,UTR4275930923
BLMAY00039,2026-05-04,UPI/SETTLE/PRMAY16818112/M1022,CR,60348.45,UTR4311931853
BLMAY00230,2026-05-21,NET SETTLEMENT M1016 2026-05-19 1/2,CR,29778.62,UTR3639796200
BLMAY00199,2026-05-07,SETTLE/PRMAY955906/PAYOUT,CR,75452.73,UTR3121808073
BLMAY00118,2026-05-26,UPI/SETTLE/PRMAY48412328/M1040,CR,75942.00,UTR5464285982
BLMAY00189,2026-05-05,SETTLE/prmay66975380/PAYOUT,CR,41050.03,UTR1440654676
BLMAY00079,2026-05-05,UPI/SETTLE/PRMAY12314351/M1038,CR,28128.82,UTR6879898071
BLMAY00148,2026-05-04,UPI/SETTLE/PRMAY92924837/M1032,CR,64108.54,UTR7902338893
BLMAY00091,2026-05-23,UPI/SETTLE/PRMAY19553585/M1028,CR,22366.91,UTR1610900200
BLMAY00155,2026-05-09,UPI/SETTLE/PRMAY24208709/M1026,CR,41530.35,UTR9033841191
BLMAY00054,2026-05-23,UPI/SETTLE/PRMAY41523529/M1003,CR,29662.24,UTR5607762160
BLMAY00226,2026-05-11,SETTLEMENT BATCHMAY007,CR,35691.14,UTR1590416424
BLMAY00072,2026-05-03,UPI/SETTLE/PRMAY85958181/M1033,CR,33147.56,UTR8076144396
BLMAY00246,2026-05-15,UPI/SETTLE/PRMAY87324220,CR,36440.72,UTR6244338653
BLMAY00008,2026-05-14,UPI/SETTLE/PRMAY95320121/M1005,CR,15661.48,UTR4131575764
BLMAY00202,2026-05-19,PART SETTLEMENT PRMAY63440127-P2,CR,17107.92,UTR2479679716
BLMAY00207,2026-05-13,PART SETTLEMENT PRMAY79645282-P2,CR,34407.06,UTR9991206531
BLMAY00187,2026-05-23,SETTLE/PRMA Y16416148/PAYOUT,CR,31699.86,UTR8487449580
BLMAY00119,2026-05-04,UPI/SETTLE/PRMAY69166287/M1021,CR,55164.62,UTR8505373158
BLMAY00245,2026-05-17,UPI/SETTLE/PRMAY15937353,CR,28904.03,UTR2242377075
BLMAY00027,2026-05-04,UPI/SETTLE/PRMAY43528453/M1006,CR,42236.64,UTR4645120421
BLMAY00002,2026-05-04,UPI/SETTLE/PRMAY83197857/M1014,CR,56199.17,UTR3585650756
BLMAY00010,2026-05-15,UPI/SETTLE/PRMAY52339391/M1014,CR,25618.45,UTR8110054933
BLMAY00191,2026-05-17,SETTLE/prmay57183837/PAYOUT,CR,4263.15,UTR1246351029
BLMAY00078,2026-05-09,UPI/SETTLE/PRMAY21490777/M1031,CR,68477.07,UTR7403028869
BLMAY00233,2026-05-15,UPI/SETTLE/PRMAY32083803,CR,81212.55,UTR3921845810
BLMAY00047,2026-05-12,UPI/SETTLE/PRMAY81969657/M1038,CR,89242.72,UTR2140169349
BLMAY00007,2026-05-09,UPI/SETTLE/PRMAY98753260/M1025,CR,73498.23,UTR6488854841
BLMAY00205,2026-05-20,PART SETTLEMENT PRMAY68065043-P2,CR,63521.14,UTR6263354802
BLMAY00247,2026-05-13,UPI/SETTLE/PRMAY50332555,CR,7970.69,UTR7682327733
BLMAY00174,2026-05-04,UPI/SETTLE/PRMAY48260510/M1028,CR,72555.32,UTR4910589015
BLMAY00080,2026-05-19,UPI/SETTLE/PRMAY84285882/M1018,CR,32821.01,UTR6611903015
BLMAY00162,2026-05-22,UPI/SETTLE/PRMAY86726461/M1004,CR,18085.69,UTR2934982045
BLMAY00236,2026-05-19,UPI/SETTLE/PRMAY78501420,CR,76873.57,UTR9837912162
BLMAY00085,2026-05-17,UPI/SETTLE/PRMAY74251933/M1008,CR,32531.89,UTR4530959836
BLMAY00216,2026-05-20,PART SETTLEMENT PRMAY59733063-P2,CR,39756.97,UTR1415802902
BLMAY00108,2026-05-26,UPI/SETTLE/PRMAY12059919/M1017,CR,13908.73,UTR8270110908
BLMAY00215,2026-05-19,PART SETTLEMENT PRMAY59733063-P1,CR,25772.30,UTR2064803502
BLMAY00074,2026-05-08,UPI/SETTLE/PRMAY68450095/M1030,CR,69777.11,UTR6447717367
BLMAY00170,2026-05-14,UPI/SETTLE/PRMAY90161060/M1029,CR,14865.45,UTR5482624860
BLMAY00013,2026-05-26,UPI/SETTLE/PRMAY22201654/M1028,CR,4714.28,UTR3561557300
BLMAY00137,2026-05-22,UPI/SETTLE/PRMAY53233116/M1025,CR,14304.63,UTR7573691558
BLMAY00190,2026-05-24,SETTLE/PRMAY540126/PAYOUT,CR,28261.89,UTR8257484586
BLMAY00206,2026-05-12,PART SETTLEMENT PRMAY79645282-P1,CR,25641.36,UTR7979417888
BLMAY00052,2026-05-19,UPI/SETTLE/PRMAY64502486/M1028,CR,79245.46,UTR6679017210
BLMAY00009,2026-05-16,UPI/SETTLE/PRMAY31931511/M1015,CR,36203.40,UTR4529615275
BLMAY00046,2026-05-23,UPI/SETTLE/PRMAY13176186/M1018,CR,18549.05,UTR7482848011
BLMAY00034,2026-05-07,UPI/SETTLE/PRMAY63121477/M1005,CR,63892.65,UTR5334976883
BLMAY00012,2026-05-15,UPI/SETTLE/PRMAY88461803/M1009,CR,85318.72,UTR7483366056
BLMAY00167,2026-05-19,UPI/SETTLE/PRMAY51551377/M1028,CR,35940.36,UTR7478908722
BLMAY00134,2026-05-06,UPI/SETTLE/PRMAY80610004/M1033,CR,70901.78,UTR3549776132
BLMAY00025,2026-05-16,UPI/SETTLE/PRMAY65177213/M1026,CR,82098.53,UTR8422620843
BLMAY00249,2026-05-06,MISC CREDIT REF7362994,CR,9109.17,UTR3044426338
BLMAY00141,2026-05-25,UPI/SETTLE/PRMAY22960658/M1038,CR,70250.92,UTR7707379050
BLMAY00105,2026-05-20,UPI/SETTLE/PRMAY54619335/M1013,CR,72532.19,UTR2644847276
BLMAY00151,2026-05-26,UPI/SETTLE/PRMAY28419343/M1032,CR,24460.47,UTR8503368512
BLMAY00073,2026-05-16,UPI/SETTLE/PRMAY11698142/M1030,CR,78165.85,UTR4037867512
BLMAY00165,2026-05-23,UPI/SETTLE/PRMAY94676162/M1019,CR,31958.03,UTR5940815822
BLMAY00169,2026-05-11,UPI/SETTLE/PRMAY20356922/M1022,CR,80259.59,UTR3654424954
BLMAY00221,2026-05-22,SETTLEMENT BATCHMAY002 NET OF CHGS 211.67,CR,60675.35,UTR2962750929
BLMAY00135,2026-05-19,UPI/SETTLE/PRMAY70667140/M1030,CR,21241.84,UTR1133790981
BLMAY00178,2026-05-03,SETTLE/NEFTPRMAY20633503/PAYOUT,CR,24498.79,UTR8628603366
BLMAY00100,2026-05-03,UPI/SETTLE/PRMAY26297533/M1036,CR,92455.66,UTR9648665968
BLMAY00208,2026-05-08,PART SETTLEMENT PRMAY96031876-P1,CR,22815.23,UTR4709911999
BLMAY00017,2026-05-12,UPI/SETTLE/PRMAY93926371/M1011,CR,79998.17,UTR9592390865
BLMAY00173,2026-05-03,UPI/SETTLE/PRMAY43554863/M1034,CR,61001.71,UTR4655730355
BLMAY00062,2026-05-03,UPI/SETTLE/PRMAY74019136/M1035,CR,89574.77,UTR6242173772
BLMAY00160,2026-05-04,UPI/SETTLE/PRMAY89379016/M1029,CR,33596.53,UTR1161521910
BLMAY00005,2026-05-06,UPI/SETTLE/PRMAY60992979/M1003,CR,34263.30,UTR8429141456
BLMAY00219,2026-05-17,PART SETTLEMENT PRMAY48951595-P3,CR,21072.88,UTR7299922974
BLMAY00098,2026-05-20,UPI/SETTLE/PRMAY98269682/M1040,CR,44022.26,UTR8543865915
BLMAY00130,2026-05-12,UPI/SETTLE/PRMAY16788532/M1005,CR,23328.15,UTR3380304322
BLMAY00001,2026-05-05,UPI/SETTLE/PRMAY95822412/M1009,CR,2619.77,UTR4163119785
BLMAY00117,2026-05-23,UPI/SETTLE/PRMAY12944682/M1039,CR,37752.59,UTR8495457335
BLMAY00094,2026-05-09,UPI/SETTLE/PRMAY22257687/M1012,CR,91391.08,UTR8093179263
BLMAY00185,2026-05-25,SETTLE/PRMAY184692/PAYOUT,CR,73794.04,UTR5474951950
BLMAY00068,2026-05-08,UPI/SETTLE/PRMAY43189803/M1031,CR,79766.93,UTR3875303857
BLMAY00182,2026-05-03,SETTLE/prmay73100462/PAYOUT,CR,60479.81,UTR4386667704
BLMAY00116,2026-05-15,UPI/SETTLE/PRMAY36738452/M1037,CR,81103.53,UTR8298348088
BLMAY00210,2026-05-21,PART SETTLEMENT PRMAY96094462-P1,CR,41753.03,UTR7638204740
BLMAY00136,2026-05-15,UPI/SETTLE/PRMAY74287863/M1005,CR,40639.43,UTR4862321353
BLMAY00018,2026-05-17,UPI/SETTLE/PRMAY53507489/M1004,CR,2095.42,UTR1338258951
BLMAY00042,2026-05-13,UPI/SETTLE/PRMAY51373735/M1016,CR,85428.50,UTR3864457210
BLMAY00142,2026-05-06,UPI/SETTLE/PRMAY99927658/M1039,CR,39174.12,UTR6636925105
BLMAY00154,2026-05-06,UPI/SETTLE/PRMAY48858073/M1024,CR,38626.81,UTR5673482258
BLMAY00241,2026-05-18,UPI/SETTLE/PRMAY48532662,CR,17303.23,UTR9123215994
BLMAY00120,2026-05-09,UPI/SETTLE/PRMAY33574011/M1011,CR,12772.14,UTR8758809005
BLMAY00083,2026-05-11,UPI/SETTLE/PRMAY34084236/M1004,CR,1590.56,UTR7671625956
BLMAY00090,2026-05-02,UPI/SETTLE/PRMAY31009452/M1015,CR,38957.04,UTR8986950095
BLMAY00140,2026-05-06,UPI/SETTLE/PRMAY60237832/M1006,CR,65326.29,UTR5695387521
BLMAY00048,2026-05-21,UPI/SETTLE/PRMAY24549543/M1025,CR,41424.92,UTR6111349421
