txn_id,txn_date,channel,merchant_id,txn_type,amount,currency,payment_ref,batch_id,status
TXNJUN00443,2026-06-20,CARD,M1003,SALE,64757.02,INR,PRJUN92979370,,SUCCESS
TXNJUN00343,2026-06-15,CARD,M1023,SALE,74559.58,INR,PRJUN56045630,,SUCCESS
TXNJUN00477,2026-06-22,UPI,M1037,SALE,8683.02,INR,PRJUN11711195,,SUCCESS
TXNJUN00384,2026-06-16,NEFT,M1011,SALE,90548.29,INR,PRJUN31989243,,SUCCESS
TXNJUN00471,2026-06-12,UPI,M1025,SALE,67627.68,INR,PRJUN26530521,,SUCCESS
TXNJUN00543,2026-06-21,NEFT,M1003,SALE,8153.72,INR,PRJUN89134873,BATCHJUN004,SUCCESS
TXNJUN00451,2026-06-19,IMPS,M1015,SALE,74138.91,INR,PRJUN31865061,,SUCCESS
TXNJUN00404,2026-06-02,IMPS,M1009,SALE,78927.78,INR,PRJUN11604831,,SUCCESS
TXNJUN00483,2026-06-06,CARD,M1037,SALE,10076.82,INR,PRJUN17871385,,SUCCESS
TXNJUN00376,2026-06-20,CARD,M1019,SALE,48527.26,INR,PRJUN79491111,,SUCCESS
TXNJUN00547,2026-06-22,IMPS,M1033,SALE,11543.97,INR,PRJUN85942072,BATCHJUN005,SUCCESS
TXNJUN00473,2026-06-18,IMPS,M1014,SALE,24196.95,INR,PRJUN26588648,,SUCCESS
TXNJUN00516,2026-06-02,IMPS,M1017,SALE,97349.46,INR,PRJUN30636590,,SUCCESS
TXNJUN00580,2026-06-08,IMPS,M1006,SALE,24365.58,INR,PRJUN67108220,,SUCCESS
TXNJUN00569,2026-06-24,NEFT,M1031,SALE,17630.93,INR,PRJUN98817918,BATCHJUN008,SUCCESS
TXNJUN00432,2026-06-06,UPI,M1031,SALE,60718.56,INR,PRJUN37776759,,SUCCESS
TXNJUN00436,2026-06-22,CARD,M1037,SALE,82388.21,INR,PRJUN81875527,,SUCCESS
TXNJUN00406,2026-06-04,CARD,M1004,SALE,4295.48,INR,PRJUN54499873,,SUCCESS
TXNJUN00454,2026-06-04,NEFT,M1036,SALE,946.18,INR,PRJUN88448538,,SUCCESS
TXNJUN00505,2026-06-20,IMPS,M1036,SALE,82496.35,INR,PRJUN23754633,,SUCCESS
TXNJUN00532,2026-06-09,NEFT,M1032,SALE,11528.26,INR,PRJUN58921480,BATCHJUN002,SUCCESS
TXNJUN00599,2026-06-27,NEFT,M1008,SALE,47925.28,INR,PRJUN24289484,,SUCCESS
TXNJUN00501,2026-06-21,IMPS,M1040,SALE,20843.21,INR,PRJUN84300459,,SUCCESS
TXNJUN00539,2026-06-24,UPI,M1031,SALE,5633.08,INR,PRJUN94103363,BATCHJUN003,SUCCESS
TXNJUN00560,2026-06-22,NEFT,M1033,SALE,4984.82,INR,PRJUN79060560,BATCHJUN007,SUCCESS
TXNJUN00559,2026-06-22,IMPS,M1033,SALE,17699.67,INR,PRJUN69042204,BATCHJUN007,SUCCESS
TXNJUN00610,2026-06-27,CARD,M1040,SALE,87437.83,INR,PRJUN24319594,,SUCCESS
TXNJUN00575,2026-06-06,IMPS,M1031,SALE,4609.32,INR,PRJUN98502178,,SUCCESS
TXNJUN00353,2026-06-05,CARD,M1036,SALE,18738.42,INR,PRJUN75043108,,SUCCESS
TXNJUN00329,2026-06-01,CARD,M1006,SALE,27902.54,INR,PRJUN61705758,,SUCCESS
TXNJUN00512,2026-06-12,IMPS,M1022,SALE,21208.52,INR,PRJUN22340723,,SUCCESS
TXNJUN00389,2026-06-23,CARD,M1015,SALE,70428.09,INR,PRJUN84204255,,SUCCESS
TXNJUN00520,2026-06-22,NEFT,M1035,SALE,11176.75,INR,PRJUN21425533,BATCHJUN001,SUCCESS
TXNJUN00566,2026-06-24,IMPS,M1031,SALE,12776.04,INR,PRJUN15260108,BATCHJUN008,SUCCESS
TXNJUN00399,2026-06-07,UPI,M1010,SALE,13146.60,INR,PRJUN20024377,,SUCCESS
TXNJUN00529,2026-06-09,IMPS,M1032,SALE,6060.17,INR,PRJUN19369589,BATCHJUN002,SUCCESS
TXNJUN00571,2026-06-19,IMPS,M1014,SALE,25250.18,INR,PRJUN90643207,,SUCCESS
TXNJUN00460,2026-06-08,NEFT,M1027,SALE,70763.89,INR,PRJUN57685330,,SUCCESS
