txn_id,txn_date,channel,merchant_id,txn_type,amount,currency,payment_ref,batch_id,status
TXNMAY00263,2026-05-15,CARD,M1012,SALE,17840.57,INR,PRMAY28012011,BATCHMAY009,SUCCESS
TXNMAY00249,2026-05-09,NEFT,M1035,SALE,5787.09,INR,PRMAY85432781,BATCHMAY007,SUCCESS
TXNMAY00315,2026-05-28,CARD,M1037,SALE,31504.74,INR,PRMAY30456313,,SUCCESS
TXNMAY00138,2026-05-17,UPI,M1008,SALE,57614.19,INR,PRMAY70896652,,SUCCESS
TXNMAY00234,2026-05-21,CARD,M1011,SALE,3452.91,INR,PRMAY37365878,BATCHMAY004,SUCCESS
TXNMAY00105,2026-05-18,CARD,M1030,SALE,72532.19,INR,PRMAY54619335,,SUCCESS
TXNMAY00214,2026-05-12,NEFT,M1002,SALE,8903.09,INR,PRMAY45496951,BATCHMAY001,SUCCESS
TXNMAY00210,2026-05-12,NEFT,M1002,SALE,19350.39,INR,PRMAY38876195,BATCHMAY001,SUCCESS
TXNMAY00298,2026-05-12,IMPS,M1028,SALE,8352.67,INR,PRMAY50332555,,SUCCESS
TXNMAY00115,2026-05-12,NEFT,M1028,SALE,93830.00,INR,PRMAY69287967,,SUCCESS
TXNMAY00303,2026-05-28,NEFT,M1014,SALE,37052.70,INR,PRMAY84797762,,SUCCESS
TXNMAY00294,2026-05-05,UPI,M1029,SALE,4934.97,INR,PRMAY37659807,,SUCCESS
TXNMAY00036,2026-05-03,NEFT,M1019,SALE,83560.86,INR,PRMAY56843172,,SUCCESS
TXNMAY00269,2026-05-03,UPI,M1019,SALE,2191.39,INR,PRMAY99826000,BATCHMAY010,SUCCESS
TXNMAY00165,2026-05-21,NEFT,M1007,SALE,31958.03,INR,PRMAY94676162,,SUCCESS
TXNMAY00194,2026-05-12,UPI,M1037,SALE,35498.27,INR,PRMAY70387584,,SUCCESS
TXNMAY00109,2026-05-03,CARD,M1021,SALE,80954.76,INR,PRMAY97219599,,SUCCESS
TXNMAY00047,2026-05-11,UPI,M1017,SALE,89242.72,INR,PRMAY81969657,,SUCCESS
TXNMAY00039,2026-05-03,NEFT,M1003,SALE,60348.45,INR,PRMAY16818112,,SUCCESS
TXNMAY00110,2026-05-08,NEFT,M1015,SALE,60052.51,INR,PRMAY19183277,,SUCCESS
TXNMAY00028,2026-05-14,IMPS,M1026,SALE,46264.50,INR,PRMAY32321899,,SUCCESS
TXNMAY00160,2026-05-02,UPI,M1020,SALE,33596.53,INR,PRMAY89379016,,SUCCESS
TXNMAY00190,2026-05-22,CARD,M1039,SALE,28261.89,INR,PRMAY54012664,,SUCCESS
TXNMAY00237,2026-05-20,IMPS,M1031,SALE,10746.80,INR,PRMAY52111160,BATCHMAY005,SUCCESS
TXNMAY00183,2026-05-08,UPI,M1038,SALE,69696.16,INR,PRMAY56278607,,SUCCESS
TXNMAY00326,2026-05-03,IMPS,M1013,SALE,49935.52,INR,PRMAY24363501,,SUCCESS
TXNMAY00087,2026-05-08,CARD,M1039,SALE,11473.29,INR,PRMAY21432787,,SUCCESS
TXNMAY00130,2026-05-11,IMPS,M1037,SALE,23328.15,INR,PRMAY16788532,,SUCCESS
TXNMAY00066,2026-05-25,NEFT,M1027,SALE,83595.89,INR,PRMAY55298556,,SUCCESS
TXNMAY00230,2026-05-21,CARD,M1011,SALE,10722.53,INR,PRMAY93179531,BATCHMAY004,SUCCESS
TXNMAY00184,2026-05-11,IMPS,M1030,SALE,77329.97,INR,PRMAY83284724,,SUCCESS
TXNMAY00311,2026-05-29,CARD,M1030,SALE,48839.37,INR,PRMAY45106207,,SUCCESS
