Month,Group ID,Our Transaction IDs,Bank Line IDs,Payment Reference,Cardinality,Our Amount,Bank Amount,Difference,Status,Days Old,Match Method,Comments
May 2026,MAY-G0001,"TXNMAY00294,TXNMAY00295",,PRMAY37659807,N:0 - entries that cancel out,0.0,0.0,0.0,Exception,26,Internal netting (sale + reversal),Sale and refund on the same reference cancel out. No bank credit is due.
May 2026,MAY-G0002,"TXNMAY00288,TXNMAY00289",,PRMAY39888974,N:0 - entries that cancel out,0.0,0.0,0.0,Exception,28,Internal netting (sale + reversal),Sale and refund on the same reference cancel out. No bank credit is due.
May 2026,MAY-G0003,"TXNMAY00290,TXNMAY00291",,PRMAY60905625,N:0 - entries that cancel out,0.0,0.0,0.0,Exception,21,Internal netting (sale + reversal),Sale and refund on the same reference cancel out. No bank credit is due.
May 2026,MAY-G0004,"TXNMAY00292,TXNMAY00293",,PRMAY25145751,N:0 - entries that cancel out,0.0,0.0,0.0,Exception,27,Internal netting (sale + reversal),Sale and refund on the same reference cancel out. No bank credit is due.
May 2026,MAY-G0005,"TXNMAY00209,TXNMAY00210,TXNMAY00211,TXNMAY00212,TXNMAY00213,TXNMAY00214,TXNMAY00215",BLMAY00220,"PRMAY11097552,PRMAY38876195,PRMAY45496951,PRMAY47763008,PRMAY59115280,PRMAY62780072,PRMAY97813295","N:1 - many payments, one credit",65577.19,65577.19,0.0,Matched,19,Batch settlement,Bank paid batch BATCHMAY001 as one credit. Bank fees of 330.26 were added back.
May 2026,MAY-G0006,"TXNMAY00216,TXNMAY00217,TXNMAY00218,TXNMAY00219,TXNMAY00220,TXNMAY00221",BLMAY00221,"PRMAY16080513,PRMAY22976369,PRMAY36717096,PRMAY55511258,PRMAY70445541,PRMAY93650068","N:1 - many payments, one credit",60887.02,60887.02,0.0,Matched,11,Batch settlement,Bank paid batch BATCHMAY002 as one credit. Bank fees of 211.67 were added back.
May 2026,MAY-G0007,"TXNMAY00222,TXNMAY00223,TXNMAY00224,TXNMAY00225,TXNMAY00226,TXNMAY00227,TXNMAY00228,TXNMAY00229",BLMAY00222,"PRMAY45638891,PRMAY50237208,PRMAY59440148,PRMAY65907088,PRMAY78090664,PRMAY92284610,PRMAY92745294,PRMAY94457912","N:1 - many payments, one credit",95184.96,95184.96,0.0,Matched,9,Batch settlement,Bank paid batch BATCHMAY003 as one credit.
May 2026,MAY-G0008,"TXNMAY00230,TXNMAY00231,TXNMAY00232,TXNMAY00233,TXNMAY00234,TXNMAY00235,TXNMAY00236",BLMAY00223,"PRMAY18359252,PRMAY24749927,PRMAY37365878,PRMAY42507072,PRMAY52103092,PRMAY92071195,PRMAY93179531","N:1 - many payments, one credit",57896.9,57896.9,0.0,Matched,10,Batch settlement,Bank paid batch BATCHMAY004 as one credit.
May 2026,MAY-G0009,"TXNMAY00237,TXNMAY00238,TXNMAY00239,TXNMAY00240,TXNMAY00241,TXNMAY00242",BLMAY00224,"PRMAY35805259,PRMAY49945150,PRMAY50063879,PRMAY52111160,PRMAY81555103,PRMAY96343485","N:1 - many payments, one credit",68558.65,68558.65,0.0,Matched,11,Batch settlement,Bank paid batch BATCHMAY005 as one credit.
May 2026,MAY-G0010,"TXNMAY00243,TXNMAY00244,TXNMAY00245,TXNMAY00246,TXNMAY00247,TXNMAY00248",BLMAY00225,"PRMAY20607151,PRMAY29659692,PRMAY46702849,PRMAY62953249,PRMAY82905845,PRMAY98043078","N:1 - many payments, one credit",67098.9,67098.9,0.0,Matched,13,Batch settlement,Bank paid batch BATCHMAY006 as one credit.
May 2026,MAY-G0011,"TXNMAY00249,TXNMAY00250,TXNMAY00251,TXNMAY00252,TXNMAY00253",BLMAY00226,"PRMAY17045237,PRMAY73404979,PRMAY85432781,PRMAY92634772,PRMAY99903592","N:1 - many payments, one credit",35691.14,35691.14,0.0,Matched,22,Batch settlement,Bank paid batch BATCHMAY007 as one credit.
May 2026,MAY-G0012,"TXNMAY00254,TXNMAY00255,TXNMAY00256,TXNMAY00257,TXNMAY00258",BLMAY00227,"PRMAY17940667,PRMAY33496796,PRMAY41168067,PRMAY48553376,PRMAY73847325","N:1 - many payments, one credit",64010.32,64010.32,0.0,Matched,11,Batch settlement,Bank paid batch BATCHMAY008 as one credit.
May 2026,MAY-G0013,"TXNMAY00259,TXNMAY00260,TXNMAY00261,TXNMAY00262,TXNMAY00263,TXNMAY00264,TXNMAY00265",BLMAY00228,"PRMAY25119192,PRMAY28012011,PRMAY48851599,PRMAY54968591,PRMAY71594457,PRMAY86230551,PRMAY96075494","N:1 - many payments, one credit",74738.79,74738.79,0.0,Matched,16,Batch settlement,Bank paid batch BATCHMAY009 as one credit.
May 2026,MAY-G0014,"TXNMAY00266,TXNMAY00267,TXNMAY00268,TXNMAY00269,TXNMAY00270,TXNMAY00271",BLMAY00229,"PRMAY28872606,PRMAY35925669,PRMAY43292316,PRMAY79159799,PRMAY95728324,PRMAY99826000","N:1 - many payments, one credit",53716.49,53716.49,0.0,Matched,28,Batch settlement,Bank paid batch BATCHMAY010 as one credit.
May 2026,MAY-G0015,TXNMAY00208,"BLMAY00217,BLMAY00218,BLMAY00219",PRMAY48951595,"1:N - one payment, many credits",59861.62,59861.62,0.0,Matched,17,Part settlement,Bank paid this in 3 parts.
May 2026,MAY-G0016,TXNMAY00206,"BLMAY00213,BLMAY00214",PRMAY70873663,"1:N - one payment, many credits",52646.44,52646.44,0.0,Matched,27,Part settlement,Bank paid this in 2 parts.
May 2026,MAY-G0017,TXNMAY00204,"BLMAY00208,BLMAY00209",PRMAY96031876,"1:N - one payment, many credits",53696.05,53696.05,0.0,Matched,24,Part settlement,Bank paid this in 2 parts.
May 2026,MAY-G0018,TXNMAY00201,"BLMAY00201,BLMAY00202,BLMAY00203",PRMAY63440127,"1:N - one payment, many credits",101533.16,101533.16,0.0,Matched,14,Part settlement,Bank paid this in 3 parts.
May 2026,MAY-G0019,TXNMAY00203,"BLMAY00206,BLMAY00207",PRMAY79645282,"1:N - one payment, many credits",60048.42,60048.42,0.0,Matched,20,Part settlement,Bank paid this in 2 parts.
May 2026,MAY-G0020,TXNMAY00202,"BLMAY00204,BLMAY00205",PRMAY68065043,"1:N - one payment, many credits",106511.26,106511.26,0.0,Matched,13,Part settlement,Bank paid this in 2 parts.
May 2026,MAY-G0021,TXNMAY00207,"BLMAY00215,BLMAY00216",PRMAY59733063,"1:N - one payment, many credits",65529.27,65529.27,0.0,Matched,13,Part settlement,Bank paid this in 2 parts.
May 2026,MAY-G0022,TXNMAY00205,"BLMAY00210,BLMAY00211,BLMAY00212",PRMAY96094462,"1:N - one payment, many credits",92090.4,92090.4,0.0,Matched,11,Part settlement,Bank paid this in 3 parts.
May 2026,MAY-G0023,TXNMAY00073,BLMAY00073,PRMAY11698142,"1:1 - one payment, one credit",78165.85,78165.85,0.0,Matched,17,Payment reference match,Bank narration shows reference PRMAY11698142.
May 2026,MAY-G0024,TXNMAY00108,BLMAY00108,PRMAY12059919,"1:1 - one payment, one credit",13908.73,13908.73,0.0,Matched,7,Payment reference match,Bank narration shows reference PRMAY12059919.
May 2026,MAY-G0025,TXNMAY00079,BLMAY00079,PRMAY12314351,"1:1 - one payment, one credit",28128.82,28128.82,0.0,Matched,28,Payment reference match,Bank narration shows reference PRMAY12314351.
May 2026,MAY-G0026,TXNMAY00168,BLMAY00168,PRMAY12446861,"1:1 - one payment, one credit",29515.06,29515.06,0.0,Matched,19,Payment reference match,Bank narration shows reference PRMAY12446861.
May 2026,MAY-G0027,TXNMAY00117,BLMAY00117,PRMAY12944682,"1:1 - one payment, one credit",37752.59,37752.59,0.0,Matched,9,Payment reference match,Bank narration shows reference PRMAY12944682.
May 2026,MAY-G0028,TXNMAY00046,BLMAY00046,PRMAY13176186,"1:1 - one payment, one credit",18549.05,18549.05,0.0,Matched,9,Payment reference match,Bank narration shows reference PRMAY13176186.
May 2026,MAY-G0029,TXNMAY00076,BLMAY00076,PRMAY13852048,"1:1 - one payment, one credit",80877.78,80877.78,0.0,Matched,15,Payment reference match,Bank narration shows reference PRMAY13852048.
May 2026,MAY-G0030,TXNMAY00125,BLMAY00125,PRMAY14994527,"1:1 - one payment, one credit",94614.12,94614.12,0.0,Matched,21,Payment reference match,Bank narration shows reference PRMAY14994527.
May 2026,MAY-G0031,TXNMAY00296,BLMAY00245,PRMAY15937353,"1:1 - one payment, one credit",29142.95,28904.03,238.92,Partial Match,15,Payment reference match,Bank narration shows reference PRMAY15937353. Bank paid 238.92 less than our books.
May 2026,MAY-G0032,TXNMAY00049,BLMAY00049,PRMAY15957459,"1:1 - one payment, one credit",41566.45,41566.45,0.0,Matched,8,Payment reference match,Bank narration shows reference PRMAY15957459.
May 2026,MAY-G0033,TXNMAY00150,BLMAY00150,PRMAY16095815,"1:1 - one payment, one credit",37701.21,37701.21,0.0,Matched,23,Payment reference match,Bank narration shows reference PRMAY16095815.
May 2026,MAY-G0034,TXNMAY00187,BLMAY00187,PRMAY16416148,"1:1 - one payment, one credit",31699.86,31699.86,0.0,Matched,10,Payment reference match,Bank narration shows reference PRMAY16416148.
May 2026,MAY-G0035,TXNMAY00130,BLMAY00130,PRMAY16788532,"1:1 - one payment, one credit",23328.15,23328.15,0.0,Matched,20,Payment reference match,Bank narration shows reference PRMAY16788532.
May 2026,MAY-G0036,TXNMAY00039,BLMAY00039,PRMAY16818112,"1:1 - one payment, one credit",60348.45,60348.45,0.0,Matched,28,Payment reference match,Bank narration shows reference PRMAY16818112.
May 2026,MAY-G0037,TXNMAY00112,BLMAY00112,PRMAY17532195,"1:1 - one payment, one credit",34214.4,34214.4,0.0,Matched,21,Payment reference match,Bank narration shows reference PRMAY17532195.
May 2026,MAY-G0038,TXNMAY00092,BLMAY00092,PRMAY18004482,"1:1 - one payment, one credit",75351.56,75351.56,0.0,Matched,25,Payment reference match,Bank narration shows reference PRMAY18004482.
May 2026,MAY-G0039,TXNMAY00185,BLMAY00185,PRMAY18469210,"1:1 - one payment, one credit",73794.04,73794.04,0.0,Matched,8,Payment reference match,Bank narration shows reference PRMAY18469210.
May 2026,MAY-G0040,TXNMAY00193,BLMAY00193,PRMAY19023909,"1:1 - one payment, one credit",74014.33,74014.33,0.0,Matched,23,Payment reference match,Bank narration shows reference PRMAY19023909.
May 2026,MAY-G0041,TXNMAY00032,BLMAY00032,PRMAY19121552,"1:1 - one payment, one credit",81907.37,81907.37,0.0,Matched,9,Payment reference match,Bank narration shows reference PRMAY19121552.
May 2026,MAY-G0042,TXNMAY00110,BLMAY00110,PRMAY19183277,"1:1 - one payment, one credit",60052.51,60052.51,0.0,Matched,23,Payment reference match,Bank narration shows reference PRMAY19183277.
May 2026,MAY-G0043,TXNMAY00146,BLMAY00146,PRMAY19339597,"1:1 - one payment, one credit",70456.82,70456.82,0.0,Matched,26,Payment reference match,Bank narration shows reference PRMAY19339597.
May 2026,MAY-G0044,TXNMAY00022,BLMAY00022,PRMAY19528530,"1:1 - one payment, one credit",60047.01,60047.01,0.0,Matched,8,Payment reference match,Bank narration shows reference PRMAY19528530.
