Month,What We Counted,How Many,Amount
May 2026,Payments in our books,328,13213754.35
May 2026,Credits on the bank statement,252,12120211.96
May 2026,Matched,226,11573494.91
May 2026,Partial Match,3,74256.73
May 2026,Open,30,1566002.71
May 2026,Exception,15,631240.72
May 2026,Groups settled with a difference,3,941.29
June 2026,Payments in our books,318,12829423.89
June 2026,Credits on the bank statement,250,11420470.32
June 2026,Matched,228,10940058.19
June 2026,Partial Match,2,36849.71
June 2026,Open,32,1852515.99
June 2026,Exception,12,541883.58
June 2026,Groups settled with a difference,2,667.15
May 2026,May items carried into June,30,1566002.71
June 2026,May items cleared in June,22,1188928.42
June 2026,May items still open,8,377074.29
June 2026,Open - normal delay,18,1050860.89
June 2026,Open - needs checking,14,801655.1
